model,mse_mean,mse_std
Linear (RAW),0.2430030851797061,0.026386549278350817
RandomForest (RAW),0.23616514843312583,0.013953734592788045
RandomForest (DOOM DATA),0.00023600812882072875,0.00033156510428032816
XGBoost (DOOM DATA),0.00012926300360988047,0.00015880800704284642
