seed,mse,mae,rmse
1,0.00027488283041042716,0.0017884760746202633,0.016579590779341544
5,9.527188265511529e-05,0.0017409694290784494,0.009760731665972347
10,9.003186837519603e-05,0.001446994617847643,0.009488512442695959
21,0.0001295492035804194,0.0014757306376093845,0.011381968352636525
42,2.048514263345241e-05,0.000874761418254311,0.004526051550021543
99,6.004674538513129e-05,0.001102854131295577,0.0077489835065724134
