mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.0287800629933677,1.0465298380611325,2.1094868183135986,1.0427140050423984,9,0.5,5,8,206,"{'max_depth': 9, 'max_features': 0.5, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 206}",-0.004653403093263652,-0.0009917462616697724,-0.0014646528651830098,-0.002369934073372145,0.0016261576876213078,5
3.9989216327667236,0.04099997111660326,0.19387165705362955,0.03387491948138852,10,0.8,5,8,221,"{'max_depth': 10, 'max_features': 0.8, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 221}",-0.001722928196003795,-0.00010352718191306683,-0.00016195746228052463,-0.0006628042800657956,0.0007500002498994001,2
3.7721774578094482,0.3753249595282274,0.48189179102579754,0.2520889628429433,21,0.2,3,9,472,"{'max_depth': 21, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 472}",-0.023767043048899,-0.011790370964911492,-0.014084020395495712,-0.016547144803102067,0.005190401714533667,8
3.317190170288086,0.3403016503544112,0.7142690817515055,0.37415704958008605,6,0.2,5,3,443,"{'max_depth': 6, 'max_features': 0.2, 'min_samples_leaf': 5, 'min_samples_split': 3, 'n_estimators': 443}",-0.04327123622337721,-0.022820720042565933,-0.02767980398200097,-0.031257253415981366,0.00872370377591693,12
0.5094950199127197,0.012051192875701344,0.8827089468638102,0.04610277049669646,14,sqrt,4,6,260,"{'max_depth': 14, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 260}",-0.07983532133719677,-0.04973084456220417,-0.054618229131734114,-0.06139479834371169,0.013191191459646067,19
1.9452043374379475,0.21639706193939037,0.7055517832438151,0.16903121957421766,14,sqrt,5,5,444,"{'max_depth': 14, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 444}",-0.0803163280787666,-0.055069979192991114,-0.05785181678235584,-0.06441270801803785,0.011302757874973434,20
1.0798848470052083,0.3659167033370922,1.1522451241811116,0.2923792669285417,19,0.2,3,8,269,"{'max_depth': 19, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 269}",-0.02429014601308826,-0.012409886361799283,-0.01474735753479549,-0.017149129969894344,0.005138840690792152,9
1.9940745035807292,0.17734339826627976,0.6361064116160074,0.09651069938978522,18,0.2,4,8,343,"{'max_depth': 18, 'max_features': 0.2, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 343}",-0.02682172287611599,-0.012714976265007298,-0.01505115169149653,-0.01819595027753994,0.006173458976273195,10
1.4070111115773518,0.012116617366127706,0.06702287991841634,0.013282733656504937,27,0.2,5,4,234,"{'max_depth': 27, 'max_features': 0.2, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 234}",-0.026448704372944505,-0.01324920640147134,-0.016148389297500083,-0.01861543335730531,0.005664004264916958,11
0.0016814867655436199,0.0006453053409424637,0.0,0.0,23,auto,2,5,188,"{'max_depth': 23, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 188}",,,,,,22
