fold,mse,mae,rmse,p90,tail_count
1,6.381576661964288e-06,0.0006204420398811231,0.0025261782720077948,3.111111111,36
2,0.0001952807842149331,0.001641692631038695,0.013974290114883586,3.111111111,36
3,7.085613574358888e-05,0.0012698088764842488,0.00841760867132637,3.111111111,36
4,0.000401969067187184,0.00169706330911665,0.020049166246684274,3.111111111,36
5,1.2037823331029247e-05,0.0007123961975927953,0.0034695566476178547,3.111111111,36
