fold,mse_tail,mae_tail,rmse_tail
1,6.410909624931216e-05,0.004317048992052529,0.008006815612296323
2,0.0022747973876577413,0.016292475089307385,0.04769483606909391
3,0.0008056881628845075,0.01154948830765723,0.02838464660489025
4,0.004691745286004912,0.017267374115040077,0.06849631585716791
5,0.00012373519192361636,0.006183426321195494,0.011123632137194054
