noise_level_frac,mse,mae
0.01,2.9465919852215505e-05,0.0022186252029933796
0.03,0.00025869070554183335,0.008919836759990975
0.05,0.0008402033751743662,0.018251217235675236
0.1,0.0034784711789244364,0.0459683271912842
