Metric,Scenario 1 (ML),Scenario 2 (CA)
Model Stability (Seed Variance),0.000088,Emergent
Noise Sensitivity,11705.1%,3% base noise
Prediction Consistency,0.21,Stochastic (varies per run)
Feature Importance Range,High (0.0 to 0.15),N/A (not model-based)
Error Distribution Spread,0.000254,Spatial clustering variance
