percentile,mse,mae,rmse,n_samples
P25,2.5033822323735743e-05,0.0007084254578046588,0.005003381089197159,1644
P50,3.877619375677081e-05,0.0010782937842136453,0.006227053376740142,1059
P75,6.824255069663326e-05,0.0018400494189320018,0.008260904956276478,601
P90,0.00017807564037850189,0.004100315203583354,0.013344498506069903,226
P95,0.0003332481134167007,0.006865413897637159,0.018255084590784582,118
P99,0.001638636446471204,0.02510402768633728,0.040480074684605065,22
